Date_reported,Cumulative_cases
14-10-2020,852841
15-10-2020,885557
16-10-2020,900778
17-10-2020,905121
18-10-2020,950401
19-10-2020,994757
20-10-2020,1041218
21-10-2020,1092301
22-10-2020,1146822
23-10-2020,1171915
24-10-2020,1179039
25-10-2020,1247592
26-10-2020,1309117
27-10-2020,1365779
28-10-2020,1421942
29-10-2020,1479448
30-10-2020,1505707
31-10-2020,1512058
01-11-2020,1582047
02-11-2020,1641153
03-11-2020,1690916
04-11-2020,1737780
05-11-2020,1782043
06-11-2020,1799956
07-11-2020,1804081
08-11-2020,1851673
09-11-2020,1889098
10-11-2020,1893895
11-11-2020,1930412
12-11-2020,1958431
13-11-2020,1969240
14-11-2020,1971777
15-11-2020,2002100
16-11-2020,2023810
17-11-2020,2040868
18-11-2020,2057685
19-11-2020,2073231
20-11-2020,2080466
21-11-2020,2082058
22-11-2020,2099790
23-11-2020,2113532
24-11-2020,2125866
25-11-2020,2138362
26-11-2020,2150141
27-11-2020,2156198
28-11-2020,2157682
29-11-2020,2173529
30-11-2020,2185816
01-12-2020,2197150
02-12-2020,2209109
03-12-2020,2221547
04-12-2020,2228095
05-12-2020,2229735
06-12-2020,2246398
07-12-2020,2259650
08-12-2020,2272086
09-12-2020,2285595
10-12-2020,2299224
11-12-2020,2306994
12-12-2020,2308912
13-12-2020,2328555
14-12-2020,2344495
15-12-2020,2359412
16-12-2020,2375233
17-12-2020,2392551
18-12-2020,2403003
19-12-2020,2406436
20-12-2020,2427480
21-12-2020,2445811
22-12-2020,2462481
23-12-2020,2475339
24-12-2020,2476548
25-12-2020,2486163
26-12-2020,2488196
27-12-2020,2509624
28-12-2020,2529157
29-12-2020,2548152
30-12-2020,2563604
31-12-2020,2564972
01-01-2021,2578158
02-01-2021,2580869
03-01-2021,2608686
04-01-2021,2630785
05-01-2021,2649811
06-01-2021,2668445
07-01-2021,2687656
08-01-2021,2698384
09-01-2021,2700551
10-01-2021,2726482
11-01-2021,2746671
12-01-2021,2766079
13-01-2021,2785886
14-01-2021,2806584
15-01-2021,2817919
16-01-2021,2820601
17-01-2021,2849523
18-01-2021,2872233
19-01-2021,2893046
20-01-2021,2914655
21-01-2021,2937259
22-01-2021,2949774
23-01-2021,2951846
24-01-2021,2981294
25-01-2021,3003499
26-01-2021,3024399
27-01-2021,3046712
28-01-2021,3069339
29-01-2021,3081803
30-01-2021,3084760
31-01-2021,3114542
01-02-2021,3137298
02-02-2021,3157338
03-02-2021,3177585
04-02-2021,3198595
05-02-2021,3210395
06-02-2021,3211608
07-02-2021,3237293
08-02-2021,3257098
09-02-2021,3274611
10-02-2021,3291802
11-02-2021,3309583
12-02-2021,3319681
13-02-2021,3321849
14-02-2021,3345631
15-02-2021,3365370
16-02-2021,3384919
17-02-2021,3405052
18-02-2021,3426219
19-02-2021,3438738
20-02-2021,3440823
21-02-2021,3469549
22-02-2021,3491730
23-02-2021,3511892
24-02-2021,3532628
25-02-2021,3553380
26-02-2021,3565773
27-02-2021,3568050
28-02-2021,3595472
01-03-2021,3615884
02-03-2021,3636337
03-03-2021,3656123
04-03-2021,3678035
05-03-2021,3691192
06-03-2021,3693556
07-03-2021,3722883
08-03-2021,3746349
09-03-2021,3770055
10-03-2021,3794000
11-03-2021,3820255
12-03-2021,3837281
13-03-2021,3841416
14-03-2021,3879692
15-03-2021,3910247
16-03-2021,3940686
17-03-2021,3971061
18-03-2021,4004184
19-03-2021,4024854
20-03-2021,4029840
21-03-2021,4076110
22-03-2021,4114198
23-03-2021,4151334
24-03-2021,4188413
25-03-2021,4228345
26-03-2021,4253235
27-03-2021,4258357
28-03-2021,4310680
29-03-2021,4354234
30-03-2021,4393863
31-03-2021,4432242
01-04-2021,4470725
02-04-2021,4495045
03-04-2021,4498820
04-04-2021,4507422
05-04-2021,4561265
06-04-2021,4600375
07-04-2021,4636274
08-04-2021,4674241
09-04-2021,4698026
10-04-2021,4701754
11-04-2021,4748042
12-04-2021,4782385
13-04-2021,4813139
14-04-2021,4844414
15-04-2021,4876542
16-04-2021,4896833
17-04-2021,4901348
18-04-2021,4941071
19-04-2021,4971826
20-04-2021,5000968
21-04-2021,5027837
22-04-2021,5056200
23-04-2021,5073421
24-04-2021,5076897
25-04-2021,5109362
26-04-2021,5134174
27-04-2021,5155251
28-04-2021,5176217
29-04-2021,5198792
30-04-2021,5202620
01-05-2021,5205996
02-05-2021,5233241
03-05-2021,5253444
04-05-2021,5270922
05-05-2021,5286811
06-05-2021,5304729
07-05-2021,5308617
08-05-2021,5310179
09-05-2021,5334063
10-05-2021,5350681
11-05-2021,5366443
12-05-2021,5368014
13-05-2021,5385178
14-05-2021,5393754
15-05-2021,5396016
16-05-2021,5414836
17-05-2021,5430268
18-05-2021,5443488
19-05-2021,5455002
20-05-2021,5466988
21-05-2021,5471805
22-05-2021,5485252
23-05-2021,5497073
24-05-2021,5506777
25-05-2021,5508685
26-05-2021,5510434
27-05-2021,5522872
28-05-2021,5536576
29-05-2021,5547666
30-05-2021,5557673
31-05-2021,5566214
01-06-2021,5567152
02-06-2021,5575650
03-06-2021,5584232
04-06-2021,5592210
05-06-2021,5598972
06-06-2021,5605201
07-06-2021,5610271
08-06-2021,5611217
09-06-2021,5615917
10-06-2021,5621275
11-06-2021,5625750
12-06-2021,5629389
13-06-2021,5632992
14-06-2021,5635842
15-06-2021,5636249
16-06-2021,5638116
17-06-2021,5640981
18-06-2021,5643756
19-06-2021,5645888
20-06-2021,5648210
21-06-2021,5650025
22-06-2021,5650315
23-06-2021,5651293
24-06-2021,5653580
25-06-2021,5655376
26-06-2021,5657227
27-06-2021,5658989
28-06-2021,5660560
29-06-2021,5661069
30-06-2021,5662173
01-07-2021,5664509
02-07-2021,5667081
03-07-2021,5669662
04-07-2021,5672357
05-07-2021,5674906
06-07-2021,5675702
07-07-2021,5677746
08-07-2021,5681742
09-07-2021,5686066
10-07-2021,5690564
11-07-2021,5694666
12-07-2021,5698897
13-07-2021,5700017
14-07-2021,5705384
15-07-2021,5714132
16-07-2021,5717715
17-07-2021,5726148
18-07-2021,5737097
19-07-2021,5749620
20-07-2021,5753579
21-07-2021,5770302
22-07-2021,5791688
23-07-2021,5813457
24-07-2021,5832509
25-07-2021,5855882
26-07-2021,5871115
27-07-2021,5876269
28-07-2021,5900396
29-07-2021,5928194
30-07-2021,5949453
31-07-2021,5971496
01-08-2021,5994281
02-08-2021,6013881
03-08-2021,6019065
04-08-2021,6039573
05-08-2021,6067429
06-08-2021,6092910
07-08-2021,6115553
08-08-2021,6140513
09-08-2021,6160935
10-08-2021,6161607
11-08-2021,6185843
12-08-2021,6216600
13-08-2021,6243247
14-08-2021,6265749
15-08-2021,6290176
16-08-2021,6311301
17-08-2021,6317130
18-08-2021,6334234
19-08-2021,6361671
20-08-2021,6384773
21-08-2021,6403691
22-08-2021,6426327
